class_id,class_term,class_name,grade_name,class_year
766,2015-2016-1,高二(06),高二,2015-2016
767,2015-2016-1,高二(07),高二,2015-2016
768,2015-2016-1,高三(02),高三,2015-2016
769,2015-2016-1,高三(06),高三,2015-2016
770,2015-2016-1,高三(09),高三,2015-2016
771,2015-2016-1,高三(04),高三,2015-2016
772,2015-2016-1,高三(05),高三,2015-2016
773,2015-2016-1,高三(08),高三,2015-2016
774,2015-2016-1,高三(13),高三,2015-2016
775,2015-2016-1,高三(11),高三,2015-2016
776,2015-2016-1,高三(01),高三,2015-2016
777,2015-2016-1,高三(03),高三,2015-2016
778,2015-2016-1,高三(07),高三,2015-2016
779,2015-2016-1,高三(10),高三,2015-2016
783,2015-2016-1,高一(01),高一,2015-2016
784,2015-2016-1,高一(02),高一,2015-2016
785,2015-2016-1,高一(03),高一,2015-2016
786,2015-2016-1,高一(04),高一,2015-2016
787,2015-2016-1,高一(05),高一,2015-2016
788,2015-2016-1,高一(06),高一,2015-2016
789,2015-2016-1,高一(07),高一,2015-2016
790,2015-2016-1,高一(08),高一,2015-2016
791,2015-2016-1,高一(09),高一,2015-2016
792,2015-2016-1,高一(10),高一,2015-2016
793,2015-2016-1,高一(11),高一,2015-2016
794,2015-2016-2,高一(IB),高一,2015-2016
796,2015-2016-2,IB临时班,unknow,2015-2016
808,2016-2017-1,高二(04),高二,2016-2017
809,2016-2017-1,高二(05),高二,2016-2017
810,2016-2017-1,高二(06),高二,2016-2017
811,2016-2017-1,高二(07),高二,2016-2017
812,2016-2017-1,高二(08),高二,2016-2017
813,2016-2017-1,高二(09),高二,2016-2017
814,2016-2017-1,高二(10),高二,2016-2017
815,2016-2017-1,高二(11),高二,2016-2017
816,2016-2017-1,高二(01),高二,2016-2017
817,2016-2017-1,高二(02),高二,2016-2017
818,2016-2017-1,高二(03),高二,2016-2017
819,2016-2017-1,高二(18IB01),高二,2016-2017
820,2016-2017-1,高三(08),高三,2016-2017
821,2016-2017-1,高三(04),高三,2016-2017
822,2016-2017-1,高三(01),高三,2016-2017
823,2016-2017-1,高三(02),高三,2016-2017
824,2016-2017-1,高三(03),高三,2016-2017
825,2016-2017-1,高三(09),高三,2016-2017
826,2016-2017-1,高三(10),高三,2016-2017
827,2016-2017-1,高三(17IB1),高三,2016-2017
828,2016-2017-1,高三(05),高三,2016-2017
829,2016-2017-1,高三(06),高三,2016-2017
830,2016-2017-1,高三(07),高三,2016-2017
831,2016-2017-1,高一(01),高一,2016-2017
832,2016-2017-1,高一(02),高一,2016-2017
833,2016-2017-1,高一(03),高一,2016-2017
834,2016-2017-1,高一(04),高一,2016-2017
835,2016-2017-1,高一(05),高一,2016-2017
836,2016-2017-1,高一(06),高一,2016-2017
837,2016-2017-1,高一(07),高一,2016-2017
838,2016-2017-1,高一(08),高一,2016-2017
839,2016-2017-1,高一(09),高一,2016-2017
840,2016-2017-1,高一(10),高一,2016-2017
841,2016-2017-1,高二(18IB02),高二,2016-2017
842,2016-2017-1,高一(19IB01),高一,2016-2017
843,2016-2017-1,高一(19IB02),高一,2016-2017
844,2016-2017-1,高三(17IB2),高三,2016-2017
858,2017-2018-1,高二(11)IB,高二,2017-2018
859,2017-2018-1,高二(12)IB,高二,2017-2018
860,2017-2018-1,高二(01),高二,2017-2018
861,2017-2018-1,高二(02),高二,2017-2018
862,2017-2018-1,高二(03),高二,2017-2018
863,2017-2018-1,高二(04),高二,2017-2018
864,2017-2018-1,高二(05),高二,2017-2018
865,2017-2018-1,高二(06),高二,2017-2018
866,2017-2018-1,高二(07),高二,2017-2018
867,2017-2018-1,高二(08),高二,2017-2018
868,2017-2018-1,高二(09),高二,2017-2018
869,2017-2018-1,高二(10),高二,2017-2018
870,2017-2018-1,高三(13)8IB,高三,2017-2018
871,2017-2018-1,高三(07),高三,2017-2018
872,2017-2018-1,高三(11),高三,2017-2018
873,2017-2018-1,高三(12)IB,高三,2017-2018
874,2017-2018-1,高三(04),高三,2017-2018
875,2017-2018-1,高三(08),高三,2017-2018
876,2017-2018-1,高三(01),高三,2017-2018
877,2017-2018-1,高三(05),高三,2017-2018
878,2017-2018-1,高三(06),高三,2017-2018
879,2017-2018-1,高三(09),高三,2017-2018
880,2017-2018-1,高三(10),高三,2017-2018
881,2017-2018-1,高三(02),高三,2017-2018
882,2017-2018-1,高三(03),高三,2017-2018
883,2017-2018-1,高一(01),高一,2017-2018
884,2017-2018-1,高一(02),高一,2017-2018
885,2017-2018-1,高一(03),高一,2017-2018
886,2017-2018-1,高一(04),高一,2017-2018
887,2017-2018-1,高一(05),高一,2017-2018
888,2017-2018-1,高一(06),高一,2017-2018
889,2017-2018-1,高一(07),高一,2017-2018
890,2017-2018-1,高一(08),高一,2017-2018
891,2017-2018-1,高一(09),高一,2017-2018
892,2017-2018-1,高一(10),高一,2017-2018
893,2017-2018-1,高一(11),高一,2017-2018
894,2017-2018-1,高一(12),高一,2017-2018
895,2017-2018-1,高一(13)IB,高一,2017-2018
896,2017-2018-2,新高一东部班,高一,2017-2018
897,2017-2018-2,新高一白杨班,高一,2017-2018
898,2017-2018-2,新高一海航班,高一,2017-2018
900,2017-2018-2,新高一IB班2,高一,2017-2018
901,2018-2019-1,白-高二(01),高二,2018-2019
902,2018-2019-1,白-高二(02),高二,2018-2019
903,2018-2019-1,白-高二(03),高二,2018-2019
904,2018-2019-1,白-高二(04),高二,2018-2019
905,2018-2019-1,白-高二(05),高二,2018-2019
906,2018-2019-1,白-高二(06),高二,2018-2019
907,2018-2019-1,白-高二(07),高二,2018-2019
908,2018-2019-1,白-高二(08),高二,2018-2019
909,2018-2019-1,白-高二(09),高二,2018-2019
910,2018-2019-1,白-高二(10),高二,2018-2019
911,2018-2019-1,白-高二(11),高二,2018-2019
912,2018-2019-1,白-高二(12),高二,2018-2019
913,2018-2019-1,高二(13)IB,高二,2018-2019
914,2018-2019-1,高三(11)IB,高三,2018-2019
915,2018-2019-1,高三(12)IB,高三,2018-2019
916,2018-2019-1,高三(02),高三,2018-2019
917,2018-2019-1,高三(03),高三,2018-2019
918,2018-2019-1,高三(04),高三,2018-2019
919,2018-2019-1,高三(07),高三,2018-2019
920,2018-2019-1,高三(08),高三,2018-2019
921,2018-2019-1,高三(01),高三,2018-2019
922,2018-2019-1,高三(05),高三,2018-2019
923,2018-2019-1,高三(09),高三,2018-2019
924,2018-2019-1,高三(06),高三,2018-2019
925,2018-2019-1,高三(10),高三,2018-2019
926,2018-2019-1,东-高一(01),高一,2018-2019
927,2018-2019-1,东-高一(02),高一,2018-2019
928,2018-2019-1,东-高一(03),高一,2018-2019
929,2018-2019-1,东-高一(04),高一,2018-2019
930,2018-2019-1,东-高一(05),高一,2018-2019
931,2018-2019-1,东-高一(06),高一,2018-2019
932,2018-2019-1,东-高一(07),高一,2018-2019
933,2018-2019-1,东-高一(08),高一,2018-2019
934,2018-2019-1,白-高一(01),高一,2018-2019
935,2018-2019-1,白-高一(02),高一,2018-2019
936,2018-2019-1,白-高一(03),高一,2018-2019
937,2018-2019-1,白-高一(04),高一,2018-2019
938,2018-2019-1,白-高一(05),高一,2018-2019
939,2018-2019-1,白-高一(06),高一,2018-2019
940,2018-2019-1,白-高一(07),高一,2018-2019
941,2018-2019-1,白-高一(08),高一,2018-2019
942,2018-2019-1,东-高一(09)-IB,高一,2018-2019
943,2018-2019-1,东-高一(10)-IB,高一,2018-2019
944,2018-2019-1,高一未分班,高一,2018-2019
945,2018-2019-1,高二未分班,高二,2018-2019
947,2018-2019-1,高三未分班,高三,2018-2019
656,2013-2014-1,高二(12),高二,2013-2014
