id,name,term,type_id,date_time
262,2015学年度第二学期期末考试,2015-2016-2,3,2016/6/27 00:00:00
263,2015学年度第二学期期末考总评,2015-2016-2,5,2016/6/27 00:00:00
264,2016年宁波市“十校联考”考试,2016-2017-1,7,2016/9/19 00:00:00
265,2016学年度第一学期期中考试,2016-2017-1,2,2016/10/26 00:00:00
266,2016学年度第一学期考查课总评,2016-2017-1,5,2016/12/30 00:00:00
267,2016学年度第一学期期末考试,2016-2017-1,3,2017/1/13 00:00:00
268,2016年第2次高三宁波市“十校联考”考试,2016-2017-1,7,2017/1/13 00:00:00
269,2016学年度第一学期期末总评,2016-2017-1,5,2017/1/13 00:00:00
270,2016年宁波市高三新高考适应性考试,2016-2017-2,9,2017/3/13 00:00:00
271,2016学年度第二学期期中考试,2016-2017-2,2,2017/4/20 00:00:00
272,宁波市2017年高考模拟考试,2016-2017-2,9,2017/5/2 00:00:00
273,2016学年度高三第二学期考查课总评,2016-2017-2,5,2017/5/4 00:00:00
274,2017年5月高三“五校联考”,2016-2017-2,6,2017/5/8 00:00:00
275,宁波“十校”2017届高三5月适应性考试,2016-2017-2,7,2017/5/25 00:00:00
277,2016学年度第二学期考查课总评,2016-2017-2,5,2016/6/20 00:00:00
279,2016学年度第二学期期末考试,2016-2017-2,3,2017/6/28 00:00:00
280,2016学年度第二学期总评,2016-2017-2,5,2017/6/28 00:00:00
281,2016学年第二学期新高一摸底考,2016-2017-2,8,2017/7/5 00:00:00
282,2017年9月宁波市“十校联考”,2017-2018-1,7,2017/9/20 00:00:00
283,2017年10月高三“五校联考”,2017-2018-1,6,2017/10/16 00:00:00
284,2017学年度第一学期期中考试,2017-2018-1,2,2017/11/15 00:00:00
285,2017学年度第一学期平时成绩1,2017-2018-1,4,2017/11/23 00:00:00
286,2017-1学期考察科目总评,2017-2018-1,5,2018/1/11 00:00:00
287,2017学年度第一学期平时成绩2,2017-2018-1,22,2018/1/21 00:00:00
288,2017学年度第一学期期末考试,2017-2018-1,3,2018/1/26 00:00:00
289,2017学年度第一学期期末总评,2017-2018-1,5,2018/1/23 00:00:00
290,2017学年第二学期高三选考适应性考试315,2017-2018-2,7,2018/3/15 00:00:00
291,2017学年第二学期高一二平时成绩1,2017-2018-2,22,2018/4/18 00:00:00
292,2017学年度第二学期期中考试,2017-2018-2,2,2018/4/23 00:00:00
293,2017-2学期考察科成绩,2017-2018-2,18,2018/5/1 00:00:00
294,2017学年第二学期高三市2模,2017-2018-2,9,2018/5/3 00:00:00
295,2017学年第二学期高三五校联考,2017-2018-2,6,2018/5/10 00:00:00
296,2017学年第二学期高三十校联考525,2017-2018-2,7,2018/5/27 00:00:00
297,2017学年度第二学期平时成绩2,2017-2018-2,4,2018/6/19 00:00:00
298,2017学年度第二学期期末考试,2017-2018-2,3,2018/6/24 00:00:00
299,2017学年第二学期期末总评,2017-2018-2,5,2018/7/1 00:00:00
300,2018-2019新高一7月测试,2017-2018-2,19,2018/7/1 00:00:00
301,2018学年第一学期高三十校联考,2018-2019-1,7,2018/9/20 00:00:00
302,2018学年第一学期高三五校联考,2018-2019-1,6,2018/10/11 00:00:00
303,2018学年度第一学期平时成绩1,2018-2019-1,22,2018/10/23 00:00:00
304,2018-1学期期中考试,2018-2019-1,2,2018/11/5 00:00:00
305,2018学年度第一学期平时成绩2,2018-2019-1,4,2018/1/2 00:00:00
306,2018-1考查课总评,2018-2019-1,18,2019/1/3 00:00:00
307,2018-1学期期末考试,2018-2019-1,3,2019/1/22 00:00:00
308,2018学年第一学期期末总评,2018-2019-1,5,2019/1/26 00:00:00
